repo_name,language,package_name,package_version,package_with_version,file_last_modified,file_path,org_name,dependency_type
sentra-auth,python,python,^3.10,python==^3.10,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,fastapi,^0.83.0,fastapi==^0.83.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,workos,^4.0.0,workos==^4.0.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,ddtrace,^2.8.5,ddtrace==^2.8.5,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,requests,^2.28.1,requests==^2.28.1,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,Jinja2,^3.1.2,Jinja2==^3.1.2,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,python-multipart,^0.0.5,python-multipart==^0.0.5,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,email-validator,^1.2.1,email-validator==^1.2.1,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,types-requests,^2.28.10,types-requests==^2.28.10,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,python-json-logger,^2.0.4,python-json-logger==^2.0.4,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,sendgrid,^6.11.0,sendgrid==^6.11.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,redis,^5.1.0,redis==^5.1.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,slowapi,^0.1.9,slowapi==^0.1.9,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,google-cloud-recaptcha-enterprise,^1.25.0,google-cloud-recaptcha-enterprise==^1.25.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,normal
sentra-auth,python,black,^22.8.0,black==^22.8.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,darker,^1.5.1,darker==^1.5.1,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,flake8,^5.0.4,flake8==^5.0.4,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,mypy,^0.971,mypy==^0.971,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,isort,^5.10.1,isort==^5.10.1,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,pytest,^7.1.3,pytest==^7.1.3,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,pytest-asyncio,^0.19.0,pytest-asyncio==^0.19.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,pytest-dotenv,^0.5.2,pytest-dotenv==^0.5.2,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,python,responses,^0.22.0,responses==^0.22.0,2025-03-06T02:07:21.228164,pyproject.toml,sentraio,dev
sentra-auth,javascript,@emotion/react,^11.10.4,@emotion/react@^11.10.4,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,@emotion/styled,^11.10.4,@emotion/styled@^11.10.4,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,@mui/base,^5.0.0-alpha.99,@mui/base@^5.0.0-alpha.99,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,@mui/lab,^5.0.0-alpha.101,@mui/lab@^5.0.0-alpha.101,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,@mui/material,^5.10.7,@mui/material@^5.10.7,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,mui-one-time-password-input,^2.0.3,mui-one-time-password-input@^2.0.3,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,react,^18.2.0,react@^18.2.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,react-dom,^18.2.0,react-dom@^18.2.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,react-google-recaptcha-v3,^1.10.1,react-google-recaptcha-v3@^1.10.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,react-router,^6.4.1,react-router@^6.4.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,react-router-dom,^6.4.1,react-router-dom@^6.4.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,normal
sentra-auth,javascript,@types/react,^18.0.21,@types/react@^18.0.21,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,@types/react-dom,^18.0.6,@types/react-dom@^18.0.6,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,@typescript-eslint/eslint-plugin,^5.38.1,@typescript-eslint/eslint-plugin@^5.38.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,@typescript-eslint/parser,^5.38.1,@typescript-eslint/parser@^5.38.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,@vitejs/plugin-react,^2.1.0,@vitejs/plugin-react@^2.1.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,c8,^7.12.0,c8@^7.12.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint,^8.24.0,eslint@^8.24.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-config-airbnb,^19.0.4,eslint-config-airbnb@^19.0.4,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-config-airbnb-typescript,^17.0.0,eslint-config-airbnb-typescript@^17.0.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-import-resolver-typescript,^3.5.1,eslint-import-resolver-typescript@^3.5.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-plugin-import,^2.26.0,eslint-plugin-import@^2.26.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-plugin-jsx-a11y,^6.6.1,eslint-plugin-jsx-a11y@^6.6.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-plugin-react,^7.31.8,eslint-plugin-react@^7.31.8,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,eslint-plugin-react-hooks,^4.6.0,eslint-plugin-react-hooks@^4.6.0,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,prettier,^3.3.3,prettier@^3.3.3,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,typescript,^4.8.4,typescript@^4.8.4,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,vite,^3.1.4,vite@^3.1.4,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-auth,javascript,vite-plugin-checker,^0.5.1,vite-plugin-checker@^0.5.1,2025-03-06T02:07:21.218247,frontend/package.json,sentraio,dev
sentra-remote-utils,python,python,">=3.8.1,<4.0.0","python==>=3.8.1,<4.0.0",2025-03-06T02:10:35.317993,pyproject.toml,sentraio,normal
sentra-remote-utils,python,pydantic,^2.8.2,pydantic==^2.8.2,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,normal
sentra-remote-utils,python,pydantic-settings,^2.3.4,pydantic-settings==^2.3.4,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,normal
sentra-remote-utils,python,sentra-cloud-utils,^4.0.64,sentra-cloud-utils==^4.0.64,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,normal
sentra-remote-utils,python,diff-cover,6.5.0,diff-cover==6.5.0,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,pytest,7.1.1,pytest==7.1.1,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,pytest-mock,3.7.0,pytest-mock==3.7.0,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,mypy,^1.0.1,mypy==^1.0.1,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,black,^23.1.0,black==^23.1.0,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,isort,^5.12.0,isort==^5.12.0,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-remote-utils,python,flake8,^7.1.0,flake8==^7.1.0,2025-03-06T02:10:35.317993,pyproject.toml,sentraio,dev
sentra-luxus-service,python,python,^3.11,python==^3.11,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,backoff,^2.2.1,backoff==^2.2.1,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,ddtrace,^2.2,ddtrace==^2.2,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,pytest-cov,^3.0.0,pytest-cov==^3.0.0,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,diff-cover,^6.5.1,diff-cover==^6.5.1,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,aiohttp,3.9.5,aiohttp==3.9.5,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
sentra-luxus-service,python,flake8,^6.0.0,flake8==^6.0.0,2025-03-06T02:09:25.284147,pyproject.toml,sentraio,normal
